RU;85;1254;TransparentCalls;0.73;358;40;18
US;1;794;E-Voice;0.76;139;61;36
GB;30;1100;TransparentCalls;0.83;622;91;37
F81411TransparentCalls;0.77;851;9;39
BL;55;43;E-Voice;0.65;945;86;51
AT;4;674;TransparentCalls;0.67;302;83;50
BG;4;1017;E-Voice;0.94;414;7;38
DK;17;1593;JustPhone;0.65;52;21;37
CA;63;1856;JustPhone;0.87;838;65;13
ES;73;771;E-Voice;0.83;148;45;7
CH;55;300;JustPhone;0.97;770;68;6
TR;19;709;TransparentCalls;0.63;952;48;6
PE;79;1102;JustPhone;0.84;523;44;51
NZ;57;941;JustPhone;0.71;813;68;56
MC;32;901;E-Voice;0.86;709;62;38
